final_cluster_id,week,complaint_count
263,2016-03-07,4
263,2016-03-28,1
263,2016-04-11,1
263,2016-05-09,1
263,2016-06-06,1
263,2016-06-20,1
263,2016-06-27,1
263,2016-07-04,2
263,2016-07-18,1
263,2016-09-05,2
263,2016-09-19,2
263,2016-10-03,1
263,2016-10-17,1
263,2016-11-07,1
263,2016-11-28,1
263,2016-12-12,1
263,2016-12-19,3
263,2017-01-02,1
263,2017-01-30,1
263,2017-02-06,1
263,2017-02-13,1
263,2017-02-20,3
263,2017-03-13,2
263,2017-03-20,1
263,2017-03-27,1
263,2017-04-17,1
263,2017-04-24,1
263,2017-05-01,1
263,2017-05-08,3
263.0,2015-08-31,1
263.0,2015-12-28,1
263.0,2016-03-28,1
263.0,2016-08-01,1
263.0,2016-09-12,1
263.0,2016-09-26,1
263.0,2016-12-26,1
263.0,2017-04-17,2
263.0,2017-06-19,2
263.0,2017-06-26,2
263.0,2017-07-03,1
263.0,2017-07-10,1
263.0,2017-07-17,2
263.0,2017-07-24,1
263.0,2017-08-14,2
264,2015-03-23,1
264,2015-04-13,1
264,2015-04-20,1
264,2015-04-27,1
264,2015-05-04,1
264,2015-05-18,2
264,2015-06-08,1
264,2015-07-06,1
264,2015-07-13,1
